Mean Pitch (F0),Zero Crossing Rate,Spectral Centroid,Spectral Bandwidth,Spectral Flatness,Spectral Roll-off,Root Mean Square Energy,Skewness,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,Chroma STFT,Chroma CQT,Mel Spectrogram,Label,Condition
159.337566023095,0.17205895712209301,4572.428500056952,2930.199511059758,0.4247458577156067,7965.682685319767,0.0022507648,0.3698285153485226,-698.2083129882812,24.2088680267334,-5.6520915031433105,3.291785478591919,1.871708631515503,1.0486009120941162,-4.766685962677002,0.394716739654541,-5.469643592834473,-2.1894004344940186,-3.072456121444702,-2.050311803817749,-2.276232957839966,0.6913625597953796,0.650338888168335,0.011455406434834003,debjyoti,Original
,0.4815043604651163,5454.664215315194,3199.948522581514,0.5423355362424059,9342.505677688954,0.020880802,0.002149398629568811,-179.5106234337516,-1.7010935967333303,0.8968489439935938,1.197027394193807,1.0567300946543643,-0.32763261411800987,-0.7859561758997065,-0.08802630784130157,0.016989385608339985,-0.9568055168588221,-0.7660625634657652,-0.116899153932931,-0.6234653159915342,0.7780833702749166,0.7640975322250969,0.03975839006678675,debjyoti,Noise
159.87415748902856,0.2503588299418605,4489.593085992791,2897.2975203727924,0.3612877428531647,7819.106672420058,0.00289267,0.3412416962774602,-685.2723999023438,27.181594848632812,-7.9456868171691895,4.453953266143799,1.83643639087677,0.8020439743995667,-6.36224889755249,1.1597555875778198,-6.130545616149902,-1.9111967086791992,-3.9735288619995117,-2.2303779125213623,-2.379270553588867,0.6693371534347534,0.6281684041023254,0.01440462376922369,debjyoti,Echo
158.65654690099427,0.17205895712209301,4572.428498048988,2930.199512406809,0.42438632249832153,7965.682685319767,0.007117545,0.3698281693131191,-585.0711059570312,24.208866119384766,-5.652092456817627,3.291785717010498,1.871708631515503,1.0486007928848267,-4.766685962677002,0.39471670985221863,-5.469643592834473,-2.1894004344940186,-3.0724563598632812,-2.050311803817749,-2.276233196258545,0.6913625597953796,0.6503376364707947,0.11455406248569489,debjyoti,High dB
159.33743379207922,0.34103379360465114,6265.913753176461,2649.3717280871147,0.2537330389022827,9284.616415334302,0.00062328606,-0.521832967943057,-824.5042724609375,-16.609783172607422,1.1682243347167969,-2.6829965114593506,-0.8850858211517334,0.818223237991333,-7.13180685043335,1.5301690101623535,-7.5009026527404785,-0.8021180033683777,-4.18138313293457,-1.1390411853790283,-2.565108299255371,0.645765483379364,0.6068116426467896,0.0005605565384030342,debjyoti,High Frequency
134.86179079123238,0.19276435319767443,4655.694921519896,2850.3712972685253,0.4153856039047241,7927.423691860465,0.0034263,-0.47921307326922996,-694.3345947265625,24.136791229248047,-0.7845405340194702,4.206833839416504,-8.551858901977539,2.1394710540771484,-4.510310173034668,8.046464920043945,-2.9658782482147217,-1.6098597049713135,-1.6405481100082397,-3.597203254699707,-1.3410568237304688,0.6891389489173889,0.5963805913925171,0.019551223143935204,debjyoti,Original
,0.4705078125,5408.896523476369,3214.106527968929,0.5279026663030207,9318.718999818315,0.021379868,-0.02614748239147175,-178.34233033983594,0.3641478783283399,2.0898681988015984,0.5892231260620326,-0.357232316798395,-0.7222978642424377,0.04235026040119545,0.8026309399143513,-0.0015368323659141572,-0.3772447295409239,-0.7849364657123384,-0.2155403200638333,0.27126075873542344,0.766223032556588,0.7410905105122247,0.047723922722374724,debjyoti,Noise
140.93444850999194,0.27082803415697676,4520.019098119084,2818.2291582722205,0.33182671666145325,7749.098723655523,0.004167781,-0.47113390182247655,-677.08837890625,28.44352912902832,-0.07545733451843262,4.5683817863464355,-12.185181617736816,2.2744300365448,-6.318899154663086,10.138994216918945,-3.7627487182617188,-1.573907494544983,-2.5018911361694336,-3.711101531982422,-1.580006718635559,0.6487966179847717,0.5725105404853821,0.02405700832605362,debjyoti,Echo
134.86179079123238,0.19276435319767443,4655.694919370523,2850.3712991462135,0.4150379002094269,7927.423691860465,0.010834913,-0.4792131694651139,-581.197509765625,24.136798858642578,-0.7845425009727478,4.206836700439453,-8.551859855651855,2.139472484588623,-4.510311126708984,8.046465873718262,-2.965879440307617,-1.6098588705062866,-1.6405489444732666,-3.597202777862549,-1.341057300567627,0.6891389489173889,0.5963812470436096,0.19551220536231995,debjyoti,High dB
135.53956620172863,0.34564634811046513,6247.231531778051,2569.132785289295,0.23327095806598663,9166.484261446221,0.0008471124,-0.2222658810916385,-815.2794189453125,-22.186622619628906,6.6079487800598145,-0.39105820655822754,-12.650032043457031,1.8909783363342285,-7.036170959472656,8.096870422363281,-4.442129611968994,-0.8812439441680908,-3.2884888648986816,-2.4072682857513428,-2.1057562828063965,0.6314328908920288,0.5734695792198181,0.0007532057934440672,debjyoti,High Frequency
129.5356547784778,0.18444086119186046,4666.422872872326,2886.5552526585643,0.4454749524593353,7994.977857013081,0.0032908206,-0.7134739166439761,-721.29736328125,30.984853744506836,-2.9595489501953125,2.0046584606170654,-3.424103021621704,2.7120254039764404,-2.4074974060058594,6.441575050354004,-5.562044143676758,-0.7651658654212952,-3.0071613788604736,-1.0541226863861084,-0.015491307713091373,0.711746096611023,0.5995940566062927,0.015412330627441406,debjyoti,Original
,0.4724677507267442,5409.5514384872995,3213.070312236818,0.5282211809846009,9319.62038971657,0.021249697,-0.023173883126937925,-177.9360189676535,-0.0176442431999394,1.2648530461285572,0.5244592091322596,0.05182884667643219,-0.29305111274443846,0.3300545472385789,0.6469314259300838,0.08417070914651945,-0.3767710130596957,-0.7528851008765679,-0.37056737719059707,-0.10941421862664094,0.7607854916706822,0.7394125089414293,0.04374049425709102,debjyoti,Noise
129.22750194143583,0.26735555959302326,4506.760195901823,2831.126213089037,0.37877359986305237,7772.635015443314,0.004034354,-0.6345608369464838,-693.8413696289062,37.25395202636719,-5.10137414932251,1.621314287185669,-4.317017555236816,2.798975944519043,-3.511167049407959,7.307592868804932,-6.5439910888671875,-0.8913289904594421,-3.800945520401001,-0.7042691707611084,0.31585556268692017,0.6900840401649475,0.576406717300415,0.01974097266793251,debjyoti,Echo
